2024-11-15 11:12:37,751:INFO:Determined expected graph feature length: 874
2024-11-15 11:12:37,759:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_train.txt.
2024-11-15 11:12:37,765:INFO:Loaded graph features from ./graph_feature/reentrancy/reentrancy_final_valid.txt.
2024-11-15 11:12:37,769:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_train.txt.
2024-11-15 11:12:37,773:INFO:Loaded labels from ./graph_feature/reentrancy/label_by_experts_valid.txt.
2024-11-15 11:12:38,240:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_11457.txt: could not convert string '-0.001789 0.095994 0.057841 -0.225050 0.188424 0.164259 -0.241453 0.062529 -0.180670 0.077784 0.068 to float64 at row 0, column 1.
2024-11-15 11:12:38,249:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_50219.txt: could not convert string '-0.027042 -0.054723 0.230428 -0.115043 0.139730 -0.359520 0.247289 -0.063001 -0.161620 -0.041862 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,257:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_40499.txt: could not convert string '-0.258797 -0.058974 -0.285466 -0.079888 -0.245763 -0.375603 -0.123360 0.094068 0.362899 0.265737 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,264:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_27767.txt: could not convert string '-0.149935 0.129432 0.086728 -0.133853 0.194524 -0.372205 0.352808 -0.152667 -0.198245 -0.356893 -0. to float64 at row 0, column 1.
2024-11-15 11:12:38,271:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_40748.txt: could not convert string '-0.140478 0.279506 -0.138351 0.118802 -0.252310 -0.083896 0.003473 0.504941 0.269632 0.101080 -0.10 to float64 at row 0, column 1.
2024-11-15 11:12:38,278:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_737.txt: could not convert string '-0.148014 0.131442 0.253447 0.146973 -0.346913 -0.270382 -0.048395 -0.043029 0.176417 -0.063137 0.1 to float64 at row 0, column 1.
2024-11-15 11:12:38,284:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g2_16643.txt: could not convert string '0.090959 -0.279954 0.214631 -0.306351 -0.077892 0.161132 0.026152 0.013984 -0.353395 0.030145 -0.22 to float64 at row 0, column 1.
2024-11-15 11:12:38,292:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g1_36668.txt: could not convert string '-0.274394 -0.148571 -0.152229 0.370963 0.156846 -0.250339 0.248669 -0.046798 0.320225 -0.289891 0.0 to float64 at row 0, column 1.
2024-11-15 11:12:38,298:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_50069.txt: could not convert string '-0.095107 0.020556 -0.211913 0.020989 -0.032490 0.156293 -0.008066 0.004252 0.085384 -0.081696 -0.0 to float64 at row 0, column 1.
2024-11-15 11:12:38,304:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g3_22943.txt: could not convert string '0.173345 -0.101694 -0.010366 -0.017878 -0.267748 -0.145138 -0.303927 -0.052967 -0.033949 -0.165859  to float64 at row 0, column 1.
2024-11-15 11:12:38,313:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_4524.txt: could not convert string '-0.340657 -0.257227 -0.127953 0.042032 0.131664 -0.100298 -0.135068 0.253276 -0.058164 -0.071921 0. to float64 at row 0, column 1.
2024-11-15 11:12:38,323:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_39091.txt: could not convert string '-0.235122 0.146342 -0.067922 0.056658 -0.183830 0.053028 -0.389499 0.165032 0.053344 0.072082 0.112 to float64 at row 0, column 1.
2024-11-15 11:12:38,328:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_3555.txt: could not convert string '-0.123223 0.134912 -0.272802 0.135509 -0.249838 0.433730 0.166756 0.039372 -0.294417 0.027258 0.166 to float64 at row 0, column 1.
2024-11-15 11:12:38,337:ERROR:Error loading ./pattern_feature/feature_FNN/reentrancy/train/g4_37684.txt: could not convert string '0.167338 -0.061125 0.158776 0.067843 -0.120409 -0.323118 -0.019982 0.292279 -0.140196 0.163056 -0.2 to float64 at row 0, column 1.
